Student_ID,Year,Semester,Attendance_Percent,Projects_Completed,Certifications,Programming_Curriculum,Programming_Industry,Programming_Gap,Database_Curriculum,Database_Industry,Database_Gap,Cloud_Curriculum,Cloud_Industry,Cloud_Gap,DataAnalysis_Curriculum,DataAnalysis_Industry,DataAnalysis_Gap,ProblemSolving_Curriculum,ProblemSolving_Industry,ProblemSolving_Gap,Communication_Curriculum,Communication_Industry,Communication_Gap,Teamwork_Curriculum,Teamwork_Industry,Teamwork_Gap,Aptitude_Curriculum,Aptitude_Industry,Aptitude_Gap,Overall_Gap_Score,Skill_Gap_Category,Priority_Training_Area,Employability_Readiness
CSE26045,3,5,85.4,3,0,8.7,8.9,0.2,8.1,6.8,-1.3,8.0,7.2,-0.8,6.7,6.9,0.2,8.7,8.2,-0.5,8.0,6.3,-1.7,9.1,6.5,-2.6,9.0,7.2,-1.8,-1.04,Low,Programming,10.0
CSE26154,3,6,85.9,0,0,6.2,7.3,1.1,7.4,7.4,0.0,5.7,6.5,0.8,6.9,7.4,0.5,7.2,7.3,0.1,5.3,6.5,1.2,7.7,6.4,-1.3,6.8,7.9,1.1,0.44,Low,Communication,9.95
CSE26115,4,8,79.0,4,1,7.2,7.6,0.4,7.4,6.8,-0.6,7.5,7.3,-0.2,6.2,8.1,1.9,7.2,8.2,1.0,7.2,6.4,-0.8,8.9,7.7,-1.2,7.0,7.7,0.7,0.15,Low,Data Analysis,9.81
CSE26107,3,5,85.3,1,1,9.0,8.6,-0.4,7.3,7.1,-0.2,6.2,6.8,0.6,5.7,7.3,1.6,6.4,8.4,2.0,7.3,7.5,0.2,7.4,7.2,-0.2,8.3,7.8,-0.5,0.39,Low,Problem Solving,9.93
CSE26015,4,7,87.3,2,0,8.9,8.3,-0.6,8.6,7.4,-1.2,7.2,6.2,-1.0,6.7,7.6,0.9,10.0,8.2,-1.8,8.0,7.6,-0.4,8.2,7.1,-1.1,7.8,7.8,0.0,-0.65,Low,Data Analysis,10.0
CSE26039,4,7,84.0,2,1,8.8,7.6,-1.2,7.6,7.3,-0.3,6.9,6.7,-0.2,6.0,7.3,1.3,6.1,8.8,2.7,8.0,6.7,-1.3,7.7,7.5,-0.2,7.0,7.5,0.5,0.16,Low,Problem Solving,9.89
CSE26152,4,7,88.3,1,2,8.5,8.5,0.0,8.5,7.5,-1.0,6.0,6.9,0.9,7.2,6.7,-0.5,9.2,8.2,-1.0,7.4,6.5,-0.9,8.3,6.5,-1.8,7.1,6.9,-0.2,-0.56,Low,Cloud Computing,10.0
CSE26017,4,8,77.4,7,1,8.7,8.7,0.0,10.0,7.4,-2.6,9.2,6.8,-2.4,7.6,7.1,-0.5,9.5,8.8,-0.7,8.7,7.0,-1.7,9.6,7.0,-2.6,9.8,8.0,-1.8,-1.54,Low,Programming,10.0
CSE26082,4,7,91.1,6,2,10.0,7.2,-2.8,10.0,7.7,-2.3,8.4,6.5,-1.9,10.0,7.3,-2.7,10.0,8.6,-1.4,9.4,6.9,-2.5,10.0,7.2,-2.8,10.0,8.2,-1.8,-2.28,Low,Problem Solving,10.0
CSE26028,4,8,90.5,4,2,9.3,7.8,-1.5,8.3,6.7,-1.6,7.6,7.6,0.0,8.2,7.4,-0.8,7.7,7.7,0.0,8.5,6.4,-2.1,7.9,7.9,0.0,8.4,7.1,-1.3,-0.91,Low,Cloud Computing,10.0
CSE26141,3,6,81.7,2,2,8.3,8.7,0.4,8.3,7.5,-0.8,7.9,6.9,-1.0,6.6,7.3,0.7,7.5,8.2,0.7,7.7,7.4,-0.3,9.4,7.3,-2.1,8.9,7.7,-1.2,-0.45,Low,Data Analysis,10.0
CSE26111,4,7,82.8,1,2,6.8,7.8,1.0,7.9,6.4,-1.5,7.4,7.2,-0.2,7.1,7.2,0.1,8.8,8.5,-0.3,8.1,6.6,-1.5,8.7,7.3,-1.4,7.7,7.7,0.0,-0.48,Low,Programming,10.0
CSE26094,3,5,95.0,3,1,10.0,8.0,-2.0,8.0,7.9,-0.1,9.0,7.0,-2.0,9.8,7.6,-2.2,10.0,7.1,-2.9,8.5,7.6,-0.9,10.0,7.1,-2.9,9.4,7.7,-1.7,-1.84,Low,Databases,10.0
CSE26143,4,7,69.1,2,0,5.5,7.8,2.3,5.0,7.8,2.8,4.3,6.3,2.0,5.5,6.0,0.5,5.3,8.3,3.0,6.5,6.8,0.3,7.4,7.5,0.1,5.5,7.6,2.1,1.64,Medium,Problem Solving,8.19
CSE26055,4,7,77.5,2,0,5.5,7.2,1.7,6.1,6.5,0.4,5.0,7.3,2.3,4.7,7.8,3.1,5.3,8.5,3.2,5.8,8.0,2.2,7.0,7.1,0.1,6.9,7.3,0.4,1.67,Medium,Problem Solving,8.39
CSE26007,4,7,75.5,4,0,6.7,8.4,1.7,7.0,7.5,0.5,5.3,6.9,1.6,6.5,6.7,0.2,7.6,8.7,1.1,7.1,6.6,-0.5,8.6,6.2,-2.4,8.1,7.8,-0.3,0.24,Low,Programming,10.0
CSE26117,3,5,77.6,4,1,7.4,7.2,-0.2,8.3,6.7,-1.6,6.9,6.9,0.0,7.9,7.5,-0.4,8.3,7.7,-0.6,8.9,6.5,-2.4,8.3,7.5,-0.8,8.5,7.3,-1.2,-0.9,Low,Cloud Computing,10.0
CSE26022,4,7,66.5,0,1,5.3,8.3,3.0,4.5,7.3,2.8,3.4,7.0,3.6,3.5,6.7,3.2,4.2,8.0,3.8,4.2,6.9,2.7,5.6,7.0,1.4,4.3,7.5,3.2,2.96,High,Problem Solving,7.14
CSE26113,3,6,87.8,1,1,10.0,7.7,-2.3,9.6,7.9,-1.7,9.2,6.5,-2.7,9.3,7.1,-2.2,10.0,8.5,-1.5,8.1,6.7,-1.4,8.3,7.3,-1.0,9.6,7.7,-1.9,-1.84,Low,Teamwork,10.0
CSE26071,4,8,88.6,2,1,9.3,7.4,-1.9,10.0,7.1,-2.9,8.3,7.1,-1.2,8.9,6.7,-2.2,10.0,8.3,-1.7,8.6,6.7,-1.9,7.6,7.4,-0.2,10.0,8.8,-1.2,-1.65,Low,Teamwork,10.0
CSE26037,4,7,68.6,2,0,4.1,8.7,4.6,6.8,7.0,0.2,3.8,7.0,3.2,5.1,7.4,2.3,3.7,8.5,4.8,5.2,6.8,1.6,5.4,7.5,2.1,5.5,8.5,3.0,2.73,High,Problem Solving,7.22
CSE26048,4,7,83.0,5,1,7.8,8.5,0.7,8.8,7.5,-1.3,7.4,6.2,-1.2,7.9,7.5,-0.4,6.9,8.7,1.8,7.3,8.0,0.7,8.1,7.5,-0.6,8.0,7.4,-0.6,-0.11,Low,Problem Solving,9.9
CSE26128,4,7,80.2,1,4,6.8,8.1,1.3,7.2,6.8,-0.4,6.7,7.1,0.4,7.2,7.6,0.4,7.6,7.8,0.2,6.7,7.1,0.4,7.3,7.8,0.5,8.7,7.8,-0.9,0.24,Low,Programming,9.45
CSE26006,4,7,89.0,4,1,10.0,8.1,-1.9,9.1,7.8,-1.3,9.2,6.4,-2.8,8.9,7.6,-1.3,8.3,8.6,0.3,7.6,6.8,-0.8,8.4,7.0,-1.4,7.7,7.8,0.1,-1.14,Low,Problem Solving,10.0
CSE26135,4,8,91.4,1,1,10.0,7.4,-2.6,8.1,7.1,-1.0,7.5,6.7,-0.8,8.8,7.0,-1.8,9.0,7.8,-1.2,8.0,6.9,-1.1,7.2,7.3,0.1,9.2,7.9,-1.3,-1.21,Low,Teamwork,10.0
CSE26034,3,5,63.6,2,1,4.4,8.1,3.7,4.7,7.9,3.2,2.4,7.4,5.0,3.9,6.7,2.8,2.7,7.4,4.7,5.5,7.2,1.7,4.8,6.9,2.1,5.4,7.2,1.8,3.12,High,Cloud Computing,6.63
CSE26148,4,7,99.0,5,3,10.0,7.8,-2.2,10.0,6.8,-3.2,10.0,7.0,-3.0,10.0,7.0,-3.0,10.0,8.1,-1.9,10.0,7.3,-2.7,10.0,6.5,-3.5,10.0,7.1,-2.9,-2.8,Low,Problem Solving,10.0
CSE26166,4,8,96.6,4,2,9.9,8.8,-1.1,9.8,7.3,-2.5,9.9,7.0,-2.9,10.0,6.4,-3.6,10.0,7.5,-2.5,8.3,6.6,-1.7,9.5,7.1,-2.4,10.0,7.5,-2.5,-2.4,Low,Programming,10.0
CSE26046,4,8,78.8,0,2,6.1,8.7,2.6,6.2,8.1,1.9,6.0,6.5,0.5,6.8,7.3,0.5,6.1,8.9,2.8,7.2,7.8,0.6,6.9,7.2,0.3,6.6,7.1,0.5,1.21,Medium,Problem Solving,8.62
CSE26158,4,8,73.3,1,2,6.9,7.1,0.2,6.0,6.9,0.9,6.2,7.5,1.3,5.9,7.3,1.4,5.4,7.8,2.4,5.4,6.4,1.0,7.4,7.2,-0.2,6.0,8.0,2.0,1.12,Medium,Problem Solving,8.37
CSE26009,4,7,91.7,5,0,10.0,8.9,-1.1,7.6,6.9,-0.7,8.9,6.9,-2.0,9.8,7.6,-2.2,10.0,7.8,-2.2,8.5,7.5,-1.0,9.9,7.3,-2.6,10.0,7.6,-2.4,-1.78,Low,Databases,10.0
CSE26044,4,7,74.1,2,0,7.1,8.5,1.4,7.8,6.8,-1.0,6.1,6.3,0.2,6.1,6.4,0.3,8.0,8.0,0.0,7.5,7.0,-0.5,8.5,7.3,-1.2,6.0,8.2,2.2,0.18,Low,Aptitude,10.0
CSE26123,4,8,77.4,2,0,6.9,8.7,1.8,6.6,7.1,0.5,6.5,7.5,1.0,6.3,8.4,2.1,7.7,8.5,0.8,5.3,7.4,2.1,7.8,6.4,-1.4,7.9,7.9,0.0,0.86,Medium,Data Analysis,9.61
CSE26010,4,8,73.3,4,1,7.5,7.7,0.2,7.9,7.8,-0.1,5.4,6.4,1.0,5.0,7.1,2.1,7.5,8.2,0.7,7.2,7.2,0.0,7.1,7.5,0.4,6.2,7.9,1.7,0.75,Low,Data Analysis,9.27
CSE26129,3,5,82.7,3,2,8.6,8.9,0.3,9.0,6.7,-2.3,8.6,6.8,-1.8,9.0,6.5,-2.5,8.1,8.5,0.4,9.6,6.0,-3.6,7.9,7.6,-0.3,8.0,7.8,-0.2,-1.25,Low,Problem Solving,10.0
CSE26147,4,8,90.0,1,3,10.0,7.7,-2.3,9.2,7.4,-1.8,9.5,7.2,-2.3,8.9,7.0,-1.9,10.0,7.7,-2.3,8.2,7.7,-0.5,9.6,7.2,-2.4,9.9,8.2,-1.7,-1.9,Low,Communication,10.0
CSE26137,4,7,91.4,5,3,10.0,9.0,-1.0,8.2,7.0,-1.2,10.0,7.3,-2.7,8.1,7.8,-0.3,10.0,7.6,-2.4,8.6,6.9,-1.7,9.4,7.3,-2.1,8.5,7.4,-1.1,-1.56,Low,Data Analysis,10.0
CSE26019,4,7,78.2,5,0,8.0,7.5,-0.5,6.5,7.1,0.6,6.4,6.8,0.4,6.7,7.0,0.3,7.8,7.9,0.1,6.4,7.0,0.6,6.6,6.8,0.2,7.6,7.1,-0.5,0.15,Low,Databases,10.0
CSE26011,4,8,80.3,0,2,7.2,7.9,0.7,7.8,7.1,-0.7,6.2,6.6,0.4,6.2,6.2,0.0,7.7,7.4,-0.3,7.1,7.0,-0.1,7.6,7.7,0.1,7.0,7.1,0.1,0.03,Low,Programming,10.0
CSE26016,3,6,91.7,3,1,8.9,8.9,0.0,8.1,7.2,-0.9,8.5,7.2,-1.3,8.6,6.8,-1.8,9.5,8.8,-0.7,7.8,6.8,-1.0,8.8,7.5,-1.3,9.4,7.3,-2.1,-1.14,Low,Programming,10.0
CSE26160,4,8,80.9,3,1,8.1,7.9,-0.2,6.9,6.7,-0.2,6.1,6.6,0.5,6.8,6.3,-0.5,7.4,7.7,0.3,6.5,7.1,0.6,10.0,6.3,-3.7,8.4,8.2,-0.2,-0.43,Low,Communication,10.0
CSE26119,3,5,81.3,2,1,7.5,8.1,0.6,6.6,7.7,1.1,8.7,6.7,-2.0,6.4,7.3,0.9,7.7,8.6,0.9,6.8,6.5,-0.3,7.1,7.6,0.5,7.2,7.9,0.7,0.3,Low,Databases,10.0
CSE26112,3,5,76.6,2,1,7.1,8.2,1.1,7.0,7.1,0.1,6.0,6.4,0.4,5.9,7.2,1.3,7.7,7.7,0.0,7.8,7.2,-0.6,7.5,7.4,-0.1,7.7,8.4,0.7,0.36,Low,Data Analysis,9.54
CSE26103,4,7,88.6,6,0,10.0,7.8,-2.2,9.8,8.0,-1.8,8.8,6.5,-2.3,8.7,6.3,-2.4,10.0,8.2,-1.8,9.0,7.9,-1.1,10.0,7.2,-2.8,10.0,7.5,-2.5,-2.11,Low,Communication,10.0
CSE26047,3,6,90.1,1,4,8.1,7.5,-0.6,8.3,7.4,-0.9,7.1,7.1,0.0,7.8,7.0,-0.8,10.0,7.9,-2.1,8.6,7.2,-1.4,8.5,7.2,-1.3,7.5,8.2,0.7,-0.8,Low,Aptitude,10.0
CSE26091,4,7,77.2,3,2,8.6,7.1,-1.5,7.3,7.5,0.2,7.7,6.8,-0.9,6.6,8.0,1.4,6.8,7.1,0.3,7.1,7.0,-0.1,7.9,7.5,-0.4,6.7,7.6,0.9,-0.01,Low,Data Analysis,9.36
CSE26164,3,5,83.5,2,0,6.4,8.3,1.9,6.2,7.4,1.2,5.7,7.0,1.3,5.7,7.3,1.6,5.8,8.0,2.2,4.0,6.9,2.9,6.5,6.9,0.4,6.1,7.9,1.8,1.66,Medium,Communication,8.8
CSE26099,4,7,82.4,3,0,8.3,7.8,-0.5,6.3,7.8,1.5,6.6,7.6,1.0,6.2,7.7,1.5,7.7,8.3,0.6,6.3,6.5,0.2,7.9,6.8,-1.1,7.5,7.3,-0.2,0.37,Low,Databases,9.23
CSE26162,3,6,69.8,1,2,5.7,7.7,2.0,6.6,7.5,0.9,3.6,7.0,3.4,4.6,7.3,2.7,5.7,7.4,1.7,6.2,6.1,-0.1,5.7,7.0,1.3,5.9,7.8,1.9,1.72,Medium,Cloud Computing,8.54
CSE26156,4,8,84.9,2,1,7.2,7.8,0.6,5.8,7.5,1.7,6.7,6.4,-0.3,6.5,6.2,-0.3,7.0,7.5,0.5,6.3,7.2,0.9,6.0,7.2,1.2,8.5,8.2,-0.3,0.5,Low,Databases,9.28
CSE26080,4,8,71.2,1,0,5.4,8.5,3.1,6.5,6.8,0.3,6.4,6.6,0.2,5.3,7.1,1.8,6.2,7.8,1.6,5.2,6.6,1.4,7.0,7.8,0.8,5.9,8.1,2.2,1.43,Medium,Programming,8.67
CSE26020,3,6,85.1,4,0,10.0,7.8,-2.2,7.9,7.3,-0.6,8.2,6.5,-1.7,8.2,6.2,-2.0,9.5,7.2,-2.3,9.3,6.9,-2.4,8.4,6.8,-1.6,8.2,8.5,0.3,-1.56,Low,Aptitude,10.0
CSE26102,4,8,78.9,2,1,7.1,8.5,1.4,8.1,6.9,-1.2,6.8,7.3,0.5,8.3,7.2,-1.1,7.2,8.1,0.9,6.4,7.6,1.2,7.8,7.8,0.0,6.8,7.9,1.1,0.35,Low,Programming,10.0
CSE26026,4,8,98.8,4,2,10.0,8.3,-1.7,10.0,7.5,-2.5,9.1,6.6,-2.5,10.0,7.6,-2.4,10.0,9.5,-0.5,9.7,6.8,-2.9,10.0,7.4,-2.6,10.0,7.8,-2.2,-2.16,Low,Problem Solving,10.0
CSE26098,4,8,73.3,2,3,7.1,7.8,0.7,10.0,7.1,-2.9,6.3,7.0,0.7,7.5,7.0,-0.5,6.7,7.2,0.5,6.4,6.8,0.4,8.0,6.9,-1.1,6.2,7.6,1.4,-0.1,Low,Aptitude,9.67
CSE26041,4,8,83.5,2,1,8.3,7.2,-1.1,7.6,7.3,-0.3,7.9,6.6,-1.3,7.3,6.7,-0.6,8.1,7.9,-0.2,7.4,7.6,0.2,8.1,7.7,-0.4,6.8,7.4,0.6,-0.39,Low,Aptitude,10.0
CSE26155,4,7,93.1,2,1,10.0,7.8,-2.2,9.2,6.9,-2.3,8.9,6.9,-2.0,8.2,7.4,-0.8,10.0,7.6,-2.4,10.0,6.9,-3.1,8.5,6.8,-1.7,9.7,7.9,-1.8,-2.04,Low,Data Analysis,10.0
CSE26013,3,6,80.7,2,0,4.9,7.0,2.1,6.9,8.0,1.1,7.4,7.0,-0.4,7.5,7.9,0.4,7.1,8.1,1.0,6.9,6.7,-0.2,7.5,6.3,-1.2,7.1,8.1,1.0,0.48,Low,Programming,9.0
CSE26116,4,7,76.5,2,1,6.9,7.9,1.0,6.3,7.2,0.9,6.8,7.1,0.3,5.2,6.4,1.2,7.5,8.3,0.8,6.5,6.5,0.0,7.8,7.2,-0.6,4.6,8.2,3.6,0.9,Medium,Aptitude,9.42
CSE26125,4,7,83.6,3,2,7.2,7.6,0.4,7.3,7.0,-0.3,6.4,7.0,0.6,7.1,6.7,-0.4,7.9,8.0,0.1,7.2,7.4,0.2,6.4,6.8,0.4,7.9,7.2,-0.7,0.04,Low,Cloud Computing,9.8
CSE26049,4,8,82.0,1,0,6.6,8.5,1.9,7.4,7.5,0.1,5.8,6.5,0.7,6.0,7.3,1.3,9.4,8.6,-0.8,7.5,7.5,0.0,7.4,7.5,0.1,8.4,7.5,-0.9,0.3,Low,Programming,9.43
CSE26070,3,5,84.5,1,1,8.7,7.3,-1.4,7.2,7.0,-0.2,6.6,7.4,0.8,7.2,7.1,-0.1,8.1,8.5,0.4,8.1,7.6,-0.5,8.5,7.3,-1.2,8.9,7.7,-1.2,-0.42,Low,Cloud Computing,10.0
CSE26029,3,5,90.4,4,3,8.7,8.2,-0.5,10.0,7.3,-2.7,8.7,7.2,-1.5,8.5,7.2,-1.3,10.0,8.2,-1.8,9.8,6.0,-3.8,8.3,7.3,-1.0,9.6,8.4,-1.2,-1.72,Low,Programming,10.0
CSE26132,3,5,73.7,2,0,6.3,8.5,2.2,6.5,6.6,0.1,5.3,6.8,1.5,6.3,6.8,0.5,6.4,7.7,1.3,6.0,6.7,0.7,6.9,6.3,-0.6,6.3,8.4,2.1,0.98,Medium,Programming,9.14
CSE26085,4,7,76.2,1,1,5.0,8.5,3.5,5.8,7.2,1.4,4.2,6.8,2.6,5.6,7.1,1.5,6.0,7.4,1.4,6.2,7.1,0.9,4.8,7.0,2.2,4.5,7.2,2.7,2.02,High,Programming,8.21
CSE26095,3,6,62.6,4,2,5.2,7.5,2.3,5.2,7.3,2.1,4.4,6.9,2.5,4.9,7.2,2.3,3.9,8.8,4.9,4.7,6.7,2.0,5.0,7.0,2.0,4.3,7.4,3.1,2.65,High,Problem Solving,7.86
CSE26126,4,8,63.8,2,3,5.3,7.5,2.2,5.7,7.1,1.4,3.1,6.5,3.4,5.6,6.5,0.9,4.2,7.8,3.6,6.0,6.3,0.3,6.4,6.8,0.4,6.2,7.1,0.9,1.64,Medium,Problem Solving,8.35
CSE26027,4,7,86.3,2,3,7.9,8.4,0.5,7.5,7.3,-0.2,8.6,6.3,-2.3,7.3,6.4,-0.9,8.7,8.3,-0.4,8.1,7.4,-0.7,7.0,7.4,0.4,7.9,7.3,-0.6,-0.52,Low,Programming,10.0
CSE26104,4,8,68.5,0,1,4.9,8.0,3.1,5.2,7.3,2.1,4.8,8.1,3.3,3.5,6.9,3.4,4.0,8.0,4.0,4.9,6.9,2.0,5.3,6.7,1.4,6.0,7.5,1.5,2.6,High,Problem Solving,7.19
CSE26118,3,6,76.3,5,1,7.5,7.7,0.2,7.4,7.0,-0.4,5.6,7.7,2.1,6.9,7.4,0.5,7.1,7.8,0.7,6.0,7.3,1.3,7.8,7.1,-0.7,6.0,7.9,1.9,0.7,Low,Cloud Computing,8.86
CSE26084,3,5,81.6,1,1,6.9,8.2,1.3,6.3,7.4,1.1,5.7,7.0,1.3,4.8,7.3,2.5,7.5,7.8,0.3,8.1,6.7,-1.4,6.0,6.9,0.9,6.7,7.6,0.9,0.86,Medium,Data Analysis,9.32
CSE26079,4,7,85.4,5,3,9.3,7.9,-1.4,8.7,7.0,-1.7,8.8,6.7,-2.1,7.2,7.3,0.1,10.0,8.1,-1.9,9.8,6.9,-2.9,10.0,7.3,-2.7,9.5,7.2,-2.3,-1.86,Low,Data Analysis,10.0
CSE26177,4,8,80.6,2,2,7.7,7.4,-0.3,6.6,6.5,-0.1,7.0,6.5,-0.5,7.4,6.8,-0.6,8.2,7.7,-0.5,5.4,7.1,1.7,8.7,7.2,-1.5,7.3,7.0,-0.3,-0.26,Low,Communication,10.0
CSE26087,3,6,97.1,2,3,10.0,7.6,-2.4,7.3,7.1,-0.2,7.9,8.0,0.1,9.0,6.7,-2.3,9.7,7.7,-2.0,8.8,6.7,-2.1,7.5,7.4,-0.1,8.6,7.7,-0.9,-1.24,Low,Cloud Computing,10.0
CSE26159,4,7,98.0,4,0,10.0,7.6,-2.4,10.0,7.4,-2.6,9.9,6.5,-3.4,8.2,7.1,-1.1,10.0,8.1,-1.9,8.1,7.7,-0.4,7.2,7.3,0.1,10.0,7.8,-2.2,-1.74,Low,Teamwork,10.0
CSE26090,4,7,65.1,1,0,4.8,8.0,3.2,6.5,7.1,0.6,4.2,5.9,1.7,3.7,7.7,4.0,3.7,8.1,4.4,5.4,7.0,1.6,5.5,6.5,1.0,6.1,7.6,1.5,2.25,High,Problem Solving,8.04
CSE26008,3,5,75.7,5,2,8.2,7.7,-0.5,7.5,7.0,-0.5,8.6,7.4,-1.2,8.4,7.6,-0.8,9.2,8.1,-1.1,8.8,7.1,-1.7,8.4,7.2,-1.2,7.2,8.2,1.0,-0.75,Low,Aptitude,10.0
CSE26121,4,8,75.7,1,2,6.9,7.6,0.7,6.5,7.1,0.6,4.4,6.8,2.4,6.1,7.4,1.3,7.9,7.4,-0.5,6.9,6.3,-0.6,8.1,7.8,-0.3,7.0,8.3,1.3,0.61,Low,Cloud Computing,9.73
CSE26066,4,7,78.4,4,2,8.4,9.0,0.6,7.6,8.2,0.6,7.5,6.6,-0.9,7.9,7.9,0.0,8.8,8.3,-0.5,7.2,6.6,-0.6,9.4,7.2,-2.2,7.3,8.2,0.9,-0.26,Low,Aptitude,10.0
CSE26036,3,6,79.3,2,0,6.9,7.3,0.4,8.7,6.7,-2.0,7.2,6.9,-0.3,6.9,6.7,-0.2,6.5,8.9,2.4,6.3,6.3,0.0,7.9,7.4,-0.5,7.5,7.2,-0.3,-0.06,Low,Problem Solving,10.0
CSE26086,4,8,66.8,2,1,4.3,7.7,3.4,6.5,7.0,0.5,3.9,6.6,2.7,5.8,7.9,2.1,5.5,7.7,2.2,5.6,7.2,1.6,5.9,7.3,1.4,6.5,7.3,0.8,1.84,High,Programming,7.86
CSE26145,4,8,93.5,2,2,8.1,8.1,0.0,8.2,7.2,-1.0,6.8,6.8,0.0,8.0,6.1,-1.9,8.9,8.8,-0.1,9.2,6.8,-2.4,7.9,6.3,-1.6,8.3,7.7,-0.6,-0.95,Low,Programming,10.0
CSE26033,4,7,83.6,2,4,8.4,7.9,-0.5,8.1,7.2,-0.9,7.8,6.4,-1.4,7.7,7.2,-0.5,8.0,8.0,0.0,5.9,7.2,1.3,7.3,6.7,-0.6,7.4,7.3,-0.1,-0.34,Low,Communication,10.0
CSE26078,3,5,86.2,2,1,6.2,7.7,1.5,6.3,7.6,1.3,6.5,6.4,-0.1,5.6,6.1,0.5,7.0,7.6,0.6,6.8,6.4,-0.4,8.7,7.0,-1.7,6.8,7.8,1.0,0.34,Low,Programming,10.0
CSE26003,4,7,88.5,3,0,10.0,8.6,-1.4,8.7,6.8,-1.9,8.5,6.8,-1.7,8.2,7.6,-0.6,9.8,8.8,-1.0,9.2,7.4,-1.8,9.2,6.7,-2.5,10.0,7.0,-3.0,-1.74,Low,Data Analysis,10.0
CSE26088,4,7,82.2,7,0,10.0,7.6,-2.4,7.5,7.0,-0.5,6.9,7.3,0.4,8.0,6.9,-1.1,8.7,8.1,-0.6,7.4,7.4,0.0,8.6,6.5,-2.1,7.7,7.7,0.0,-0.79,Low,Cloud Computing,10.0
CSE26101,4,7,75.4,2,1,6.3,7.9,1.6,7.3,7.0,-0.3,6.2,7.0,0.8,5.7,6.5,0.8,5.4,7.9,2.5,6.7,6.9,0.2,5.9,7.2,1.3,6.9,7.6,0.7,0.95,Medium,Problem Solving,9.22
CSE26151,4,7,82.0,1,2,8.7,8.7,0.0,5.9,6.9,1.0,7.2,6.6,-0.6,6.9,6.6,-0.3,6.2,8.0,1.8,7.6,6.7,-0.9,7.2,7.6,0.4,8.6,7.4,-1.2,0.02,Low,Problem Solving,9.55
